CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 183.105469 1514433603.9661
MEM 183.105469 1514433604.0666
MEM 183.105469 1514433604.1696
MEM 183.105469 1514433604.2748
MEM 183.105469 1514433604.3800
MEM 183.105469 1514433604.4844
MEM 183.105469 1514433604.5854
MEM 183.105469 1514433604.6865
MEM 183.105469 1514433604.7912
MEM 183.105469 1514433604.8964
MEM 183.105469 1514433605.0016
MEM 183.105469 1514433605.1068
MEM 183.105469 1514433605.2112
MEM 183.105469 1514433605.3114
MEM 183.105469 1514433605.4166
MEM 183.105469 1514433605.5218
MEM 183.105469 1514433605.6270
MEM 183.105469 1514433605.7293
MEM 183.105469 1514433605.8300
MEM 183.105469 1514433605.9337
MEM 183.105469 1514433606.0369
MEM 183.105469 1514433606.1421
MEM 183.105469 1514433606.2465
MEM 183.105469 1514433606.3473
MEM 183.105469 1514433606.4497
MEM 183.105469 1514433606.5546
MEM 183.097656 1514433606.6588
MEM 183.097656 1514433606.7590
MEM 183.097656 1514433606.8616
MEM 183.097656 1514433606.9622
MEM 183.097656 1514433607.0674
MEM 183.097656 1514433607.1726
MEM 183.097656 1514433607.2778
MEM 183.097656 1514433607.3787
MEM 183.097656 1514433607.4839
MEM 183.097656 1514433607.5844
MEM 183.097656 1514433607.6890
MEM 183.097656 1514433607.7933
MEM 183.097656 1514433607.8985
MEM 183.097656 1514433608.0037
MEM 183.097656 1514433608.1089
MEM 183.097656 1514433608.2123
MEM 183.097656 1514433608.3144
MEM 183.097656 1514433608.4196
MEM 183.097656 1514433608.5206
MEM 183.097656 1514433608.6241
MEM 183.097656 1514433608.7293
MEM 183.097656 1514433608.8345
MEM 183.097656 1514433608.9374
MEM 183.097656 1514433609.0427
MEM 183.097656 1514433609.1446
MEM 183.097656 1514433609.2468
MEM 183.097656 1514433609.3489
MEM 183.097656 1514433609.4511
MEM 183.097656 1514433609.5535
MEM 183.097656 1514433609.6565
MEM 183.097656 1514433609.7576
MEM 183.097656 1514433609.8605
MEM 183.097656 1514433609.9616
MEM 183.097656 1514433610.0638
MEM 183.097656 1514433610.1658
MEM 183.097656 1514433610.2679
MEM 183.097656 1514433610.3694
MEM 183.097656 1514433610.4727
MEM 183.097656 1514433610.5740
MEM 183.097656 1514433610.6787
MEM 183.097656 1514433610.7791
MEM 183.097656 1514433610.8837
MEM 183.097656 1514433610.9850
MEM 183.097656 1514433611.0859
MEM 183.097656 1514433611.1896
MEM 183.097656 1514433611.2944
MEM 183.097656 1514433611.3996
MEM 183.097656 1514433611.5047
MEM 183.097656 1514433611.6058
MEM 183.097656 1514433611.7103
MEM 183.097656 1514433611.8154
MEM 183.097656 1514433611.9204
MEM 183.097656 1514433612.0256
MEM 183.097656 1514433612.1307
MEM 183.097656 1514433612.2357
MEM 183.097656 1514433612.3362
MEM 183.097656 1514433612.4373
MEM 183.097656 1514433612.5391
MEM 183.097656 1514433612.6442
MEM 183.097656 1514433612.7466
MEM 183.097656 1514433612.8479
MEM 183.097656 1514433612.9508
MEM 183.097656 1514433613.0560
MEM 183.097656 1514433613.1611
MEM 183.097656 1514433613.2661
MEM 183.097656 1514433613.3688
MEM 183.097656 1514433613.4740
MEM 183.097656 1514433613.5788
MEM 183.097656 1514433613.6810
MEM 183.097656 1514433613.7839
MEM 183.097656 1514433613.8841
MEM 183.097656 1514433613.9869
MEM 183.097656 1514433614.0903
MEM 183.097656 1514433614.1955
MEM 183.097656 1514433614.2977
MEM 183.097656 1514433614.3989
MEM 183.097656 1514433614.5041
MEM 183.097656 1514433614.6092
MEM 183.097656 1514433614.7143
MEM 183.121094 1514433614.8195
MEM 183.121094 1514433614.9241
MEM 183.121094 1514433615.0289
MEM 183.121094 1514433615.1341
MEM 183.121094 1514433615.2372
MEM 183.121094 1514433615.3424
MEM 183.121094 1514433615.4456
MEM 183.121094 1514433615.5508
MEM 183.121094 1514433615.6560
MEM 183.121094 1514433615.7612
MEM 183.121094 1514433615.8664
MEM 183.121094 1514433615.9703
MEM 183.121094 1514433616.0754
MEM 183.121094 1514433616.1789
MEM 183.121094 1514433616.2841
MEM 183.121094 1514433616.3883
MEM 183.121094 1514433616.4894
MEM 183.121094 1514433616.5915
MEM 183.121094 1514433616.6967
MEM 183.121094 1514433616.7999
MEM 183.121094 1514433616.9021
MEM 183.121094 1514433617.0035
MEM 183.121094 1514433617.1087
MEM 183.121094 1514433617.2138
MEM 183.121094 1514433617.3170
MEM 183.121094 1514433617.4207
MEM 183.121094 1514433617.5259
MEM 183.121094 1514433617.6311
MEM 183.121094 1514433617.7363
MEM 183.121094 1514433617.8415
MEM 183.121094 1514433617.9442
MEM 183.121094 1514433618.0488
MEM 183.121094 1514433618.1540
MEM 183.121094 1514433618.2592
MEM 183.121094 1514433618.3644
MEM 183.121094 1514433618.4696
MEM 183.121094 1514433618.5739
MEM 183.121094 1514433618.6790
MEM 183.121094 1514433618.7842
MEM 183.121094 1514433618.8845
MEM 183.121094 1514433618.9897
MEM 183.121094 1514433619.0948
MEM 183.121094 1514433619.2000
MEM 183.121094 1514433619.3052
MEM 183.121094 1514433619.4104
MEM 183.121094 1514433619.5107
MEM 183.121094 1514433619.6121
MEM 183.121094 1514433619.7173
MEM 183.121094 1514433619.8225
MEM 183.121094 1514433619.9244
MEM 183.121094 1514433620.0290
MEM 183.121094 1514433620.1342
MEM 183.113281 1514433620.2390
MEM 183.105469 1514433620.3399
MEM 183.105469 1514433620.4448
MEM 183.105469 1514433620.5476
MEM 183.105469 1514433620.6528
MEM 183.105469 1514433620.7580
MEM 183.105469 1514433620.8632
MEM 183.105469 1514433620.9684
MEM 183.105469 1514433621.0719
MEM 183.105469 1514433621.1771
MEM 183.105469 1514433621.2823
MEM 183.105469 1514433621.3865
MEM 183.105469 1514433621.4885
MEM 183.105469 1514433621.5891
MEM 183.105469 1514433621.6929
MEM 183.105469 1514433621.7948
MEM 183.105469 1514433621.8965
MEM 183.105469 1514433622.0002
MEM 183.105469 1514433622.1014
MEM 183.105469 1514433622.2024
MEM 183.105469 1514433622.3045
MEM 183.105469 1514433622.4076
MEM 183.105469 1514433622.5115
MEM 183.105469 1514433622.6166
MEM 183.105469 1514433622.7202
MEM 183.105469 1514433622.8254
MEM 183.105469 1514433622.9291
MEM 183.105469 1514433623.0343
MEM 183.105469 1514433623.1375
MEM 183.105469 1514433623.2426
MEM 183.105469 1514433623.3448
MEM 183.105469 1514433623.4500
MEM 183.105469 1514433623.5503
MEM 183.105469 1514433623.6555
MEM 183.105469 1514433623.7567
MEM 183.105469 1514433623.8619
MEM 183.105469 1514433623.9647
MEM 183.105469 1514433624.0693
MEM 183.105469 1514433624.1743
MEM 183.105469 1514433624.2792
MEM 183.105469 1514433624.3842
MEM 183.105469 1514433624.4856
MEM 183.105469 1514433624.5877
MEM 183.105469 1514433624.6929
MEM 183.105469 1514433624.7949
MEM 183.105469 1514433624.8953
MEM 183.105469 1514433625.0004
MEM 183.105469 1514433625.1056
MEM 183.105469 1514433625.2093
MEM 183.105469 1514433625.3145
MEM 183.105469 1514433625.4195
MEM 183.105469 1514433625.5247
MEM 183.105469 1514433625.6252
MEM 183.105469 1514433625.7292
MEM 183.105469 1514433625.8343
MEM 183.105469 1514433625.9375
MEM 183.105469 1514433626.0426
MEM 183.105469 1514433626.1446
MEM 183.105469 1514433626.2475
MEM 183.105469 1514433626.3527
MEM 183.105469 1514433626.4545
MEM 183.105469 1514433626.5555
MEM 183.105469 1514433626.6607
MEM 183.105469 1514433626.7643
MEM 183.105469 1514433626.8694
MEM 183.105469 1514433626.9725
MEM 183.105469 1514433627.0777
MEM 183.105469 1514433627.1792
MEM 183.105469 1514433627.2844
MEM 183.105469 1514433627.3895
MEM 183.105469 1514433627.4947
MEM 183.105469 1514433627.5997
MEM 183.105469 1514433627.7050
MEM 183.105469 1514433627.8083
MEM 183.105469 1514433627.9094
MEM 183.105469 1514433628.0113
MEM 183.105469 1514433628.1134
MEM 183.105469 1514433628.2155
MEM 183.105469 1514433628.3183
MEM 183.105469 1514433628.4189
MEM 183.105469 1514433628.5212
MEM 183.105469 1514433628.6249
MEM 183.105469 1514433628.7282
MEM 183.105469 1514433628.8293
MEM 183.105469 1514433628.9299
MEM 183.105469 1514433629.0309
MEM 183.105469 1514433629.1330
MEM 183.105469 1514433629.2349
MEM 183.105469 1514433629.3384
MEM 183.105469 1514433629.4390
MEM 183.105469 1514433629.5410
MEM 183.105469 1514433629.6433
MEM 183.105469 1514433629.7449
MEM 183.105469 1514433629.8472
MEM 183.105469 1514433629.9522
MEM 183.105469 1514433630.0525
MEM 183.105469 1514433630.1528
MEM 183.105469 1514433630.2545
MEM 183.105469 1514433630.3566
MEM 183.105469 1514433630.4616
MEM 183.105469 1514433630.5667
MEM 183.105469 1514433630.6681
MEM 183.105469 1514433630.7686
MEM 183.105469 1514433630.8699
