CMDLINE python2.7 19-Quick-Implement-for-difference-distance.py
MEM 182.128906 1514434409.2788
MEM 182.128906 1514434409.3840
MEM 182.128906 1514434409.4867
MEM 182.128906 1514434409.5918
MEM 182.128906 1514434409.6953
MEM 182.128906 1514434409.7985
MEM 182.128906 1514434409.9006
MEM 182.128906 1514434410.0027
MEM 182.128906 1514434410.1079
MEM 182.128906 1514434410.2130
MEM 182.128906 1514434410.3138
MEM 182.128906 1514434410.4190
MEM 182.128906 1514434410.5194
MEM 182.128906 1514434410.6196
MEM 182.128906 1514434410.7210
MEM 182.128906 1514434410.8261
MEM 182.128906 1514434410.9313
MEM 182.128906 1514434411.0317
MEM 182.128906 1514434411.1345
MEM 182.128906 1514434411.2393
MEM 182.128906 1514434411.3402
MEM 182.128906 1514434411.4454
MEM 182.128906 1514434411.5480
MEM 182.128906 1514434411.6532
MEM 182.128906 1514434411.7538
MEM 182.128906 1514434411.8552
MEM 182.128906 1514434411.9598
MEM 182.128906 1514434412.0647
MEM 182.128906 1514434412.1697
MEM 182.128906 1514434412.2736
MEM 182.128906 1514434412.3777
MEM 182.128906 1514434412.4827
MEM 182.128906 1514434412.5833
MEM 182.128906 1514434412.6860
MEM 182.128906 1514434412.7896
MEM 182.128906 1514434412.8948
MEM 182.128906 1514434412.9954
MEM 182.128906 1514434413.1007
MEM 182.128906 1514434413.2057
MEM 182.128906 1514434413.3064
MEM 182.128906 1514434413.4072
MEM 182.128906 1514434413.5077
MEM 182.128906 1514434413.6125
MEM 182.128906 1514434413.7158
MEM 182.128906 1514434413.8193
MEM 182.128906 1514434413.9215
MEM 182.128906 1514434414.0225
MEM 182.128906 1514434414.1255
MEM 182.128906 1514434414.2287
MEM 182.128906 1514434414.3324
MEM 182.128906 1514434414.4327
MEM 182.128906 1514434414.5366
MEM 182.128906 1514434414.6369
MEM 182.128906 1514434414.7421
MEM 182.128906 1514434414.8455
MEM 182.128906 1514434414.9508
MEM 182.128906 1514434415.0558
MEM 182.128906 1514434415.1570
MEM 182.128906 1514434415.2573
MEM 182.128906 1514434415.3625
MEM 182.128906 1514434415.4634
MEM 182.128906 1514434415.5686
MEM 182.128906 1514434415.6697
MEM 182.128906 1514434415.7703
MEM 182.128906 1514434415.8755
MEM 182.128906 1514434415.9760
MEM 182.128906 1514434416.0773
MEM 182.128906 1514434416.1780
MEM 182.128906 1514434416.2804
MEM 182.128906 1514434416.3856
MEM 182.128906 1514434416.4908
MEM 182.128906 1514434416.5947
MEM 182.128906 1514434416.6956
MEM 182.128906 1514434416.7972
MEM 182.128906 1514434416.9024
MEM 182.128906 1514434417.0071
MEM 182.128906 1514434417.1123
MEM 182.128906 1514434417.2174
MEM 182.128906 1514434417.3207
MEM 182.128906 1514434417.4243
MEM 182.128906 1514434417.5274
MEM 182.128906 1514434417.6276
MEM 182.128906 1514434417.7328
MEM 182.128906 1514434417.8380
MEM 182.128906 1514434417.9406
MEM 182.128906 1514434418.0455
MEM 182.128906 1514434418.1475
MEM 182.128906 1514434418.2480
MEM 182.128906 1514434418.3484
MEM 182.128906 1514434418.4522
MEM 182.128906 1514434418.5545
MEM 182.128906 1514434418.6592
MEM 182.128906 1514434418.7644
MEM 182.128906 1514434418.8689
MEM 182.128906 1514434418.9703
MEM 182.128906 1514434419.0753
MEM 182.128906 1514434419.1788
MEM 182.128906 1514434419.2790
MEM 182.128906 1514434419.3797
MEM 182.128906 1514434419.4848
MEM 182.128906 1514434419.5896
MEM 182.128906 1514434419.6909
MEM 182.128906 1514434419.7957
MEM 182.128906 1514434419.8976
MEM 182.128906 1514434420.0005
MEM 182.128906 1514434420.1053
MEM 182.128906 1514434420.2093
MEM 182.128906 1514434420.3144
MEM 182.128906 1514434420.4164
MEM 182.128906 1514434420.5183
MEM 182.128906 1514434420.6187
MEM 182.128906 1514434420.7222
MEM 182.128906 1514434420.8274
MEM 182.128906 1514434420.9321
MEM 182.128906 1514434421.0342
MEM 182.128906 1514434421.1363
MEM 182.128906 1514434421.2413
MEM 182.128906 1514434421.3457
MEM 182.128906 1514434421.4492
MEM 182.128906 1514434421.5542
MEM 182.128906 1514434421.6607
MEM 182.128906 1514434421.7634
MEM 182.128906 1514434421.8659
MEM 182.128906 1514434421.9710
MEM 182.128906 1514434422.0735
MEM 182.128906 1514434422.1763
MEM 182.128906 1514434422.2775
MEM 182.128906 1514434422.3827
MEM 182.128906 1514434422.4877
MEM 182.128906 1514434422.5929
MEM 182.128906 1514434422.6957
MEM 182.128906 1514434422.7975
MEM 182.128906 1514434422.9027
MEM 182.128906 1514434423.0079
MEM 182.128906 1514434423.1106
MEM 182.128906 1514434423.2158
MEM 182.128906 1514434423.3209
MEM 182.128906 1514434423.4261
MEM 182.128906 1514434423.5311
MEM 182.128906 1514434423.6363
MEM 182.128906 1514434423.7415
MEM 182.128906 1514434423.8465
MEM 182.128906 1514434423.9505
MEM 182.128906 1514434424.0555
MEM 182.128906 1514434424.1605
MEM 182.128906 1514434424.2649
MEM 182.128906 1514434424.3701
MEM 182.128906 1514434424.4753
MEM 182.128906 1514434424.5802
MEM 182.128906 1514434424.6840
MEM 182.128906 1514434424.7847
MEM 182.128906 1514434424.8862
MEM 182.128906 1514434424.9904
MEM 182.128906 1514434425.0954
MEM 182.128906 1514434425.1958
MEM 182.128906 1514434425.2960
MEM 182.128906 1514434425.4009
MEM 182.128906 1514434425.5045
MEM 182.128906 1514434425.6080
MEM 182.128906 1514434425.7132
MEM 182.128906 1514434425.8157
MEM 182.128906 1514434425.9209
MEM 182.128906 1514434426.0259
MEM 182.128906 1514434426.1301
MEM 182.128906 1514434426.2337
MEM 182.128906 1514434426.3355
MEM 182.128906 1514434426.4371
MEM 182.128906 1514434426.5398
MEM 182.128906 1514434426.6409
MEM 182.128906 1514434426.7459
MEM 182.128906 1514434426.8462
MEM 182.128906 1514434426.9480
MEM 182.128906 1514434427.0532
MEM 182.128906 1514434427.1584
MEM 182.128906 1514434427.2636
MEM 182.128906 1514434427.3644
MEM 182.128906 1514434427.4652
MEM 182.128906 1514434427.5705
MEM 182.128906 1514434427.6739
MEM 182.128906 1514434427.7766
MEM 182.128906 1514434427.8771
MEM 182.128906 1514434427.9821
MEM 182.128906 1514434428.0865
MEM 182.128906 1514434428.1874
MEM 182.144531 1514434428.2927
MEM 182.144531 1514434428.3959
MEM 182.144531 1514434428.4970
MEM 182.144531 1514434428.6020
MEM 182.144531 1514434428.7072
