CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 4.808594 1514432653.6124
MEM 13.238281 1514432653.7260
MEM 20.910156 1514432653.8340
MEM 28.183594 1514432653.9427
MEM 38.648438 1514432654.0515
MEM 44.437500 1514432654.1617
MEM 59.824219 1514432654.2693
MEM 65.730469 1514432654.3767
MEM 82.855469 1514432654.4856
MEM 85.414062 1514432654.5943
MEM 90.125000 1514432654.7042
MEM 90.355469 1514432654.8128
MEM 90.582031 1514432654.9191
MEM 90.941406 1514432655.0296
MEM 91.054688 1514432655.1404
MEM 91.152344 1514432655.2523
MEM 91.265625 1514432655.3630
MEM 91.339844 1514432655.4720
MEM 96.347656 1514432655.5813
MEM 102.421875 1514432655.6916
MEM 108.109375 1514432655.8019
MEM 113.195312 1514432655.9154
MEM 114.359375 1514432656.0284
MEM 114.699219 1514432656.1398
MEM 124.433594 1514432656.2520
MEM 125.835938 1514432656.3604
