CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 4.582031 1514432749.9645
MEM 17.214844 1514432750.0791
MEM 31.738281 1514432750.1874
MEM 45.296875 1514432750.2975
MEM 65.324219 1514432750.4064
MEM 84.449219 1514432750.5219
MEM 90.082031 1514432750.6326
MEM 90.378906 1514432750.7386
MEM 90.625000 1514432750.8459
MEM 90.910156 1514432750.9542
MEM 91.007812 1514432751.0627
MEM 91.105469 1514432751.1728
MEM 91.207031 1514432751.2810
MEM 91.285156 1514432751.3916
MEM 100.804688 1514432751.5017
MEM 111.492188 1514432751.6137
MEM 114.085938 1514432751.7220
MEM 114.582031 1514432751.8306
MEM 120.046875 1514432751.9409
MEM 125.757812 1514432752.0503
