CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 4.582031 1514433361.4968
MEM 16.675781 1514433361.6167
MEM 31.531250 1514433361.7249
MEM 44.738281 1514433361.8345
MEM 65.246094 1514433361.9444
MEM 85.207031 1514433362.0537
MEM 90.066406 1514433362.1642
MEM 90.386719 1514433362.2735
MEM 90.648438 1514433362.3828
MEM 90.910156 1514433362.4924
MEM 91.011719 1514433362.6034
MEM 91.117188 1514433362.7108
MEM 91.207031 1514433362.8185
MEM 92.703125 1514433362.9297
MEM 106.734375 1514433363.0405
MEM 113.078125 1514433363.1490
MEM 114.296875 1514433363.2585
MEM 114.664062 1514433363.3677
MEM 124.789062 1514433363.4790
MEM 126.210938 1514433363.5914
MEM 127.300781 1514433363.7009
MEM 127.781250 1514433363.8108
MEM 127.902344 1514433363.9214
MEM 141.011719 1514433364.0326
MEM 152.714844 1514433364.1420
MEM 168.121094 1514433364.2496
MEM 177.425781 1514433364.3595
MEM 160.398438 1514433364.4712
MEM 166.285156 1514433364.5852
MEM 171.980469 1514433364.6965
MEM 174.945312 1514433364.8032
MEM 176.585938 1514433364.9157
MEM 178.097656 1514433365.0267
MEM 182.484375 1514433365.1366
MEM 182.746094 1514433365.2478
MEM 183.156250 1514433365.3546
MEM 183.753906 1514433365.4669
MEM 184.789062 1514433365.5787
MEM 175.324219 1514433365.6937
MEM 178.375000 1514433365.8010
MEM 179.175781 1514433365.9129
MEM 179.027344 1514433366.0266
MEM 179.175781 1514433366.1350
MEM 179.398438 1514433366.2444
MEM 176.250000 1514433366.3572
MEM 176.250000 1514433366.4662
MEM 176.347656 1514433366.5734
MEM 176.683594 1514433366.6854
MEM 176.683594 1514433366.7975
MEM 176.933594 1514433366.9094
MEM 176.957031 1514433367.0227
MEM 176.960938 1514433367.1359
MEM 176.960938 1514433367.2481
MEM 176.960938 1514433367.3579
MEM 176.960938 1514433367.4697
MEM 176.960938 1514433367.5794
MEM 176.960938 1514433367.6869
MEM 176.960938 1514433367.8041
MEM 159.851562 1514433367.9126
