CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 0.253906 1514434364.8789
MEM 14.554688 1514434364.9810
MEM 28.640625 1514434365.0862
MEM 41.644531 1514434365.1912
MEM 62.570312 1514434365.2937
MEM 81.527344 1514434365.3939
MEM 90.222656 1514434365.4991
MEM 90.414062 1514434365.6042
MEM 90.660156 1514434365.7065
MEM 91.042969 1514434365.8101
MEM 91.140625 1514434365.9134
MEM 91.238281 1514434366.0186
MEM 91.351562 1514434366.1238
MEM 91.421875 1514434366.2289
MEM 96.011719 1514434366.3341
MEM 108.003906 1514434366.4369
MEM 113.648438 1514434366.5372
MEM 114.402344 1514434366.6423
MEM 114.894531 1514434366.7466
MEM 124.960938 1514434366.8514
MEM 126.359375 1514434366.9529
MEM 126.394531 1514434367.0583
MEM 126.394531 1514434367.1637
MEM 127.457031 1514434367.2691
MEM 127.964844 1514434367.3696
MEM 128.066406 1514434367.4750
MEM 140.218750 1514434367.5786
MEM 151.925781 1514434367.6839
MEM 167.089844 1514434367.7891
MEM 176.347656 1514434367.8933
MEM 159.589844 1514434367.9986
MEM 162.492188 1514434368.0997
MEM 168.453125 1514434368.2012
MEM 175.343750 1514434368.3024
MEM 175.570312 1514434368.4068
MEM 176.277344 1514434368.5120
MEM 179.695312 1514434368.6172
MEM 182.234375 1514434368.7224
MEM 182.460938 1514434368.8273
MEM 182.542969 1514434368.9299
MEM 183.210938 1514434369.0351
MEM 184.597656 1514434369.1403
MEM 177.761719 1514434369.2442
MEM 177.921875 1514434369.3494
MEM 178.125000 1514434369.4528
MEM 177.882812 1514434369.5540
MEM 177.882812 1514434369.6555
MEM 177.882812 1514434369.7577
MEM 175.726562 1514434369.8580
MEM 175.726562 1514434369.9631
MEM 175.992188 1514434370.0665
MEM 176.117188 1514434370.1687
MEM 176.117188 1514434370.2723
MEM 176.117188 1514434370.3750
MEM 176.375000 1514434370.4785
MEM 176.378906 1514434370.5823
MEM 176.378906 1514434370.6844
MEM 176.378906 1514434370.7871
MEM 176.378906 1514434370.8890
MEM 176.378906 1514434370.9900
MEM 176.378906 1514434371.0926
MEM 176.378906 1514434371.1977
MEM 176.378906 1514434371.3026
