CMDLINE /anaconda/envs/OSMNX/bin/python 19-Quick-Implement-for-difference-distance.py
MEM 4.605469 1514432878.9378
MEM 16.777344 1514432879.0461
MEM 31.562500 1514432879.1580
MEM 44.714844 1514432879.2695
MEM 65.355469 1514432879.3808
MEM 83.941406 1514432879.4945
MEM 90.074219 1514432879.6050
MEM 90.335938 1514432879.7170
MEM 90.628906 1514432879.8278
MEM 90.917969 1514432879.9386
MEM 91.019531 1514432880.0493
MEM 91.125000 1514432880.1601
MEM 91.222656 1514432880.2673
MEM 91.304688 1514432880.3747
MEM 103.585938 1514432880.4860
MEM 112.542969 1514432880.5979
MEM 114.367188 1514432880.7087
MEM 114.660156 1514432880.8208
MEM 122.488281 1514432880.9318
MEM 126.261719 1514432881.0450
MEM 126.300781 1514432881.1583
MEM 126.300781 1514432881.2675
MEM 127.394531 1514432881.3790
MEM 127.992188 1514432881.4901
MEM 127.992188 1514432881.6006
MEM 136.261719 1514432881.7115
MEM 147.179688 1514432881.8316
MEM 161.843750 1514432881.9385
MEM 173.539062 1514432882.0497
MEM 159.277344 1514432882.1580
MEM 162.273438 1514432882.2681
MEM 168.410156 1514432882.3761
MEM 175.503906 1514432882.4884
MEM 176.078125 1514432882.5992
MEM 176.789062 1514432882.7089
MEM 180.769531 1514432882.8207
MEM 182.746094 1514432882.9285
MEM 183.062500 1514432883.0386
MEM 183.550781 1514432883.1466
MEM 184.144531 1514432883.2585
MEM 185.617188 1514432883.3686
MEM 178.507812 1514432883.4769
MEM 178.984375 1514432883.5864
MEM 179.148438 1514432883.6990
MEM 178.898438 1514432883.8086
MEM 178.917969 1514432883.9215
MEM 179.187500 1514432884.0301
MEM 177.042969 1514432884.1399
MEM 177.066406 1514432884.2489
MEM 177.367188 1514432884.3620
MEM 177.425781 1514432884.4725
MEM 177.542969 1514432884.5829
MEM 177.660156 1514432884.6948
MEM 177.664062 1514432884.8024
MEM 177.664062 1514432884.9143
MEM 177.664062 1514432885.0245
MEM 177.664062 1514432885.1323
MEM 177.664062 1514432885.2418
MEM 177.664062 1514432885.3540
MEM 177.664062 1514432885.4650
MEM 177.226562 1514432885.5777
