	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
6	3838 REISTERSTOWN RD BALTIMORE | MD 21215-7616	0x00690C0000201400000020	1	7616	21215	 Reisterstown Road 	3838
18	3807 PARK HEIGHTS AVE BALTIMORE | MD 21215-7611	0x000D0D0000200400000020	1	7611	21215	 Park Heights Avenue 	3807
25	4802 PALMER AVE BALTIMORE | MD 21215-6006	0x0008120000206A00000020	1	6006	21215	 Palmer Avenue 	4802
53	2602 LOYOLA SOUTHWAY BALTIMORE | MD 21215-7029	0x00130D0000440200000020	1	7029	21215	 Loyola Southway 	2602
68	3007 OAKLEY AVE BALTIMORE | MD 21215-6019	0x0008120000204E00000020	1	6019	21215	 Oakley Avenue 	3007
70	2622 LEHMAN ST BALTIMORE | MD 21223-2809	0x005C080000203E00000020	1	2809	21223	 Lehman Street 	2622
84	1420 N LUZERNE AVE BALTIMORE | MD 21213-3718	0x00E1050000201C00000020	1	3718	21213	 North Luzerne Avenue 	1420
110	719 N LONGWOOD ST BALTIMORE | MD 21216-4629	0x00B1090000202600000047	1	4629	21216	 North Longwood Street 	719
128	2519 KEYWORTH AVE BALTIMORE | MD 21215-7648	0x000C0D0000201500000020	1	7648	21215	 Keyworth Avenue 	2519
133	4900 PALMER AVE BALTIMORE | MD 21215-6008	0x0004120000201700000020	1	6008	21215	 Palmer Avenue 	4900
148	2204 EAGLE ST BALTIMORE | MD 21223-3322	0x00BD020000200A00000020	1	3322	21223	 Eagle Street 	2204
179	3033 W GARRISON AVE BALTIMORE | MD 21215-6015	0x0005120000200A00000020	1	6015	21215	 West Garrison Avenue 	3033
231	2035 DIVISION ST BALTIMORE | MD 21217-3323	0x003A010000202A00000020	1	3323	21217	 Division Street 	2035
261	1521 N PATTERSON PARK AVE BALTIMORE | MD 21213-3432	0x00CC050000200B00000020	1	3432	21213	 North Patterson Park Avenue 	1521
267	3628 REISTERSTOWN RD BALTIMORE | MD 21215-7742	0x00650C0000200200000020	1	7742	21215	 Reisterstown Road 	3628
269	5017 PALMER AVE BALTIMORE | MD 21215-5136	0x00EB110000201700000020	1	5136	21215	 Palmer Avenue 	5017
278	1525 N PATTERSON PARK AVE BALTIMORE | MD 21213-3432	0x00CC050000200D00000020	1	3432	21213	 North Patterson Park Avenue 	1525
286	2538 QUANTICO AVE BALTIMORE | MD 21215-7009	0x00160D0000481400000020	1	7009	21215	 Quantico Avenue 	2538
292	2301 E FEDERAL ST BALTIMORE | MD 21213-3519	0x00CC050000201700000020	1	3519	21213	 East Federal Street 	2301
298	232 N MOUNT ST BALTIMORE | MD 21223-1718	0x00A4000000203900000020	1	1718	21223	 North Mount Street 	232
303	2910 ROCKROSE AVE BALTIMORE | MD 21215-7706	0x00650C0000201700000020	1	7706	21215	 Rockrose Avenue 	2910
327	5517 GIST AVE BALTIMORE | MD 21215-4505	0x004D110000431500000020	1	4505	21215	 Gist Avenue 	5517
334	4227 PIMLICO RD BALTIMORE | MD 21215-6960	0x00130D0000461700000020	1	6960	21215	 Pimlico Road 	4227
338	4022 DUVALL AVE BALTIMORE | MD 21216-1634	0x00210B0000420700000020	1	1634	21216	 Duvall Avenue 	4022
344	523 OVERDALE RD BALTIMORE | MD 21229-2413	0x00511F0000410E00000020	1	2413	21229	 Overdale Road 	523
356	3913-15 DUVALL AVE BALTIMORE | MD 21216	0x00230B0000201800000020	1	0	21216	 Duvall Avenue 	3913-15
384	2909 HUNTINGDON AVE BALTIMORE | MD 21211-2823	0x00490E0000200500000020	1	2823	21211	 Huntingdon Avenue 	2909
400	704 MOUNT HOLLY ST BALTIMORE | MD 21229-1959	0x00CB090000200300000020	1	1959	21229	 Mount Holly Street 	704
401	3218 ELMORA AVE BALTIMORE | MD 21213-1638	0x0052100000440A00000020	1	1638	21213	 Elmora Avenue 	3218
413	3610 REISTERSTOWN RD BALTIMORE | MD 21215-7702	0x00640C0000200600000020	1	7702	21215	 Reisterstown Road 	3610
418	3200 ELMORA AVE BALTIMORE | MD 21213-1638	0x0052100000440100000020	1	1638	21213	 Elmora Avenue 	3200
422	410 OLD ORCHARD RD BALTIMORE | MD 21229-2440	0x00531F0000200D00000020	1	2440	21229	 Old Orchard Road 	410
430	3609-11 LABYRINTH RD BALTIMORE | MD 21215	0x007A1000004F0500000020	1	0	21215	 Labyrinth Road 	3609-11
437	2900 N LOUDON AVE BALTIMORE | MD 21216-1640	0x00280B0000200C00000020	1	1640	21216	 North Loudon Avenue 	2900
471	2606 LAURETTA AVE BALTIMORE | MD 21223-1025	0x00A5080000421A0000004D	1	1025	21223	 Lauretta Avenue 	2606
479	3324 HAYWARD AVE BALTIMORE | MD 21215-5150	0x00B8110000411400000020	1	5150	21215	 Hayward Avenue 	3324
487	2813 ULMAN AVE BALTIMORE | MD 21215-7720	0x00620C0000200E00000020	1	7720	21215	 Ulman Avenue 	2813
496	5313 HAMLIN AVE BALTIMORE | MD 21215-5138	0x00B8110000411E00000020	1	5138	21215	 Hamlin Avenue 	5313
502	2801 ULMAN AVE BALTIMORE | MD 21215-7720	0x00620C0000200800000020	1	7720	21215	 Ulman Avenue 	2801
546	3403 BATEMAN AVE BALTIMORE | MD 21216-1809	0x00F90B0000200800000020	1	1809	21216	 Bateman Avenue 	3403
575	1508 MADISON AVE BALTIMORE | MD 21217-3645	0x006C010000200500000020	1	3645	21217	 Madison Avenue 	1508
590	5604 PARK HEIGHTS AVE BALTIMORE | MD 21215-3928	0x004D110000200800000020	1	3928	21215	 Park Heights Avenue 	5604
626	1931 MCCULLOH ST BALTIMORE | MD 21217-3509	0x0043010000201200000020	1	3509	21217	 Mcculloh Street 	1931
639	1903 DUKELAND ST BALTIMORE | MD 21216-3127	0x00BE0B0000201300000041	1	3127	21216	 Dukeland Street 	1903
743	2511 DULANY ST BALTIMORE | MD 21223-2803	0x0061080000421800000020	1	2803	21223	 Dulany Street 	2511
748	3705 GRANTLEY RD BALTIMORE | MD 21215-7343	0x002B0C0000201000000020	1	7343	21215	 Grantley Road 	3705
757	1646 NORTHWICK RD BALTIMORE | MD 21218-1643	0x00810F00004C1800000020	1	1643	21218	 Northwick Road 	1646
874	1732 CARSWELL ST BALTIMORE | MD 21218-4907	0x0020100000200A00000020	1	4907	21218	 Carswell Street 	1732
908	1535 NORTHWICK RD BALTIMORE | MD 21218-1605	0x00810F0000451C00000020	1	1605	21218	 Northwick Road 	1535
930	425 N ROSE ST BALTIMORE | MD 21224-1126	0x0089060000204700000020	1	1126	21224	 North Rose Street 	425
954	2009 WALBROOK AVE BALTIMORE | MD 21217-1255	0x00860C0000202A00000020	1	1255	21217	 Walbrook Avenue 	2009
975	3503 GLEN AVE BALTIMORE | MD 21215-3913	0x0059110000411100000020	1	3913	21215	 Glen Avenue 	3503
1008	3810 W GARRISON AVE BALTIMORE | MD 21215-5716	0x00DE110000200500000020	1	5716	21215	 West Garrison Avenue 	3810
1024	1519 CARSWELL ST BALTIMORE | MD 21218-4904	0x0023100000202700000042	1	4904	21218	 Carswell Street 	1519
1026	409 N MILTON AVE BALTIMORE | MD 21224-1014	0x0089060000200500000020	1	1014	21224	 North Milton Avenue 	409
1050	807 N STREEPER ST BALTIMORE | MD 21205-1724	0x004C060000202900000020	1	1724	21205	 North Streeper Street 	807
1051	3818 W GARRISON AVE BALTIMORE | MD 21215-5716	0x00DE110000200100000020	1	5716	21215	 West Garrison Avenue 	3818
1060	319 N GILMOR ST BALTIMORE | MD 21223-1736	0x0097000000200A00000020	1	1736	21223	 North Gilmor Street 	319
1062	709 E 21ST ST BALTIMORE | MD 21218-6127	0x00B10F0000202600000020	1	6127	21218	 East 21St Street 	709
1067	2121 BRUNT ST BALTIMORE | MD 21217-3300	0x0033010000204F00000020	1	3300	21217	 Brunt Street 	2121
1083	2723 PELHAM AVE BALTIMORE | MD 21213-1118	0x00351000004A1D00000020	1	1118	21213	 Pelham Avenue 	2723
1096	518 E 38TH ST BALTIMORE | MD 21218-1929	0x003F0F0000411D00000045	1	1929	21218	 East 38Th Street 	518
1134	3606-08 MONTEREY RD BALTIMORE | MD 21218	0x00920F0000461F00000041	1	0	21218	 Monterey Road 	3606-08
1148	1201 N PATTERSON PARK AVE BALTIMORE | MD 21213-3414	0x0000060000204500000020	1	3414	21213	 North Patterson Park Avenue 	1201
1155	334 S PULASKI ST BALTIMORE | MD 21223-2923	0x0010010000203800000020	1	2923	21223	 South Pulaski Street 	334
1162	2312 ANOKA AVE BALTIMORE | MD 21215-7810	0x00B40C0000203400000020	1	7810	21215	 Anoka Avenue 	2312
1165	3603-05 MONTEREY RD BALTIMORE | MD 21218	0x00920F0000461D00000041	1	0	21218	 Monterey Road 	3603-05
1189	509 E 38TH ST BALTIMORE | MD 21218-1930	0x00400F0000201300000020	1	1930	21218	 East 38Th Street 	509
1198	2209 HUNTINGDON AVE BALTIMORE | MD 21211-3211	0x00180E0000203A00000020	1	3211	21211	 Huntingdon Avenue 	2209
1202	1737 CARSWELL ST BALTIMORE | MD 21218-4908	0x001F100000203700000020	1	4908	21218	 Carswell Street 	1737
1238	2401 E BIDDLE ST BALTIMORE | MD 21213-3628	0x0013060000202200000020	1	3628	21213	 East Biddle Street 	2401
1265	2411 E BIDDLE ST BALTIMORE | MD 21213-3628	0x0013060000201D00000020	1	3628	21213	 East Biddle Street 	2411
1307	3920 W GARRISON AVE BALTIMORE | MD 21215-5734	0x00DD11000020030000004A	1	5734	21215	 West Garrison Avenue 	3920
1319	2136 DRUID HILL AVE BALTIMORE | MD 21217-3520	0x0034010000202600000020	1	3520	21217	 Druid Hill Avenue 	2136
1351	2124 MCCULLOH ST BALTIMORE | MD 21217-3529	0x0035010000200E00000020	1	3529	21217	 Mcculloh Street 	2124
1376	2524 W FAIRMOUNT AVE BALTIMORE | MD 21223-1424	0x007A080000410D00000020	1	1424	21223	 West Fairmount Avenue 	2524
1422	2602 E CHASE ST BALTIMORE | MD 21213-3706	0x0015060000200200000020	1	3706	21213	 East Chase Street 	2602
1424	1617 MORELAND AVE BALTIMORE | MD 21216-3706	0x0010090000200900000020	1	3706	21216	 Moreland Avenue 	1617
1512	620 WILLOW AVE BALTIMORE | MD 21212-4826	0x0060140000201800000020	1	4826	21212	 Willow Avenue 	620
1546	1531 ENSOR ST BALTIMORE | MD 21202-5704	0x0061040000202400000020	1	5704	21202	 Ensor Street 	1531
1549	1723 MORELAND AVE BALTIMORE | MD 21216-3708	0x0002090000200C00000020	1	3708	21216	 Moreland Avenue 	1723
1582	2631 AISQUITH ST BALTIMORE | MD 21218-4818	0x0012100000412400000020	1	4818	21218	 Aisquith Street 	2631
1609	3706 SOUTHERN AVE BALTIMORE | MD 21206-5531	0x00C8160000450200000041	1	5531	21206	 Southern Avenue 	3706
1649	3711 W BELVEDERE AVE BALTIMORE | MD 21215-5707	0x00DF110000200F00000020	1	5707	21215	 West Belvedere Avenue 	3711
1680	3629 W BELVEDERE AVE BALTIMORE | MD 21215-5804	0x00E1110000420F00000020	1	5804	21215	 West Belvedere Avenue 	3629
1689	2616 AISQUITH ST BALTIMORE | MD 21218-4817	0x0012100000422600000020	1	4817	21218	 Aisquith Street 	2616
1714	3801-07 OAKFORD AVE BALTIMORE | MD 21215	0x008C0B0000202000000020	1	0	21215	 Oakford Avenue 	3801-07
1730	1637 N PAYSON ST BALTIMORE | MD 21217-1122	0x000C000000200900000020	1	1122	21217	 North Payson Street 	1637
1737	2605 E BIDDLE ST BALTIMORE | MD 21213-3703	0x0015060000203000000020	1	3703	21213	 East Biddle Street 	2605
1741	1416 COOKSIE ST BALTIMORE | MD 21230-5210	0x00E4070000205D00000020	1	5210	21230	 Cooksie Street 	1416
1749	4604 BENTON HEIGHTS AVE BALTIMORE | MD 21206-5556	0x00E8160000203B00000020	1	5556	21206	 Benton Heights Avenue 	4604
1751	424 CALVIN AVE BALTIMORE | MD 21218-2821	0x00970E0000200400000020	1	2821	21218	 Calvin Avenue 	424
1757	3619 W BELVEDERE AVE BALTIMORE | MD 21215-5804	0x00E1110000420A00000020	1	5804	21215	 West Belvedere Avenue 	3619
1766	4907 EDGEMERE AVE BALTIMORE | MD 21215-5917	0x00FD110000411600000044	1	5917	21215	 Edgemere Avenue 	4907
1779	910 NEWINGTON AVE BALTIMORE | MD 21217-4715	0x00830D0000201400000020	1	4715	21217	 Newington Avenue 	910
1785	29 E 21ST ST BALTIMORE | MD 21218-5924	0x00E10E0000201800000020	1	5924	21218	 East 21St Street 	29
1900	2718 PENNSYLVANIA AVE BALTIMORE | MD 21217-1818	0x004A0D0000200A00000020	1	1818	21217	 Pennsylvania Avenue 	2718
1919	1931 HOLLINS ST BALTIMORE | MD 21223-2210	0x00E0000000201500000020	1	2210	21223	 Hollins Street 	1931
1926	3621 LUCILLE AVE BALTIMORE | MD 21215-5908	0x00FF110000204A00000020	1	5908	21215	 Lucille Avenue 	3621
1927	2432 EDMONDSON AVE BALTIMORE | MD 21223-1044	0x0039090000201100000020	1	1044	21223	 Edmondson Avenue 	2432
1934	1207 N LUZERNE AVE BALTIMORE | MD 21213-3713	0x0003060000201C00000020	1	3713	21213	 North Luzerne Avenue 	1207
1982	1121-23 HULL ST BALTIMORE | MD 21230	0x00BE070000201800000020	1	0	21230	 Hull Street 	1121-23
1990	1341 SARGEANT ST BALTIMORE | MD 21223-3633	0x00FF020000206F00000020	1	3633	21223	 Sargeant Street 	1341
1992	1209 N LUZERNE AVE BALTIMORE | MD 21213-3713	0x0003060000201D00000020	1	3713	21213	 North Luzerne Avenue 	1209
2001	2200 CHELSEA TER BALTIMORE | MD 21216-2424	0x000A0B0000410100000020	1	2424	21216	 Chelsea Ter 	2200
2021	1604 W NORTH AVE BALTIMORE | MD 21217-1736	0x004D0D0000201F00000020	1	1736	21217	 West North Avenue 	1604
2056	632 N MILTON AVE BALTIMORE | MD 21205-2507	0x0068060000201100000020	1	2507	21205	 North Milton Avenue 	632
2072	2824 OAKFORD AVE BALTIMORE | MD 21215-6812	0x00160D0000440800000020	1	6812	21215	 Oakford Avenue 	2824
2078	3907 RIDGEWOOD AVE BALTIMORE | MD 21215-5634	0x00900B0000200F00000020	1	5634	21215	 Ridgewood Avenue 	3907
2166	921 N CAROLINE ST BALTIMORE | MD 21205-1000	0x00BC040000200400000020	1	1000	21205	 North Caroline Street 	921
2170	518 S SMALLWOOD ST BALTIMORE | MD 21223-2946	0x00B8020000200A00000020	1	2946	21223	 South Smallwood Street 	518
2171	703 N GRANTLEY ST BALTIMORE | MD 21229-2032	0x00C8090000203300000020	1	2032	21229	 North Grantley Street 	703
2251	216 N DUNCAN ST BALTIMORE | MD 21231-1310	0x0097060000203C00000020	1	1310	21231	 North Duncan Street 	216
2255	2849 MILES AVE BALTIMORE | MD 21211-2924	0x00440E0000204600000020	1	2924	21211	 Miles Avenue 	2849
2272	404 N BELNORD AVE BALTIMORE | MD 21224-1203	0x008B060000204700000020	1	1203	21224	 North Belnord Avenue 	404
2294	733 N GRANTLEY ST BALTIMORE | MD 21229-2032	0x00C8090000204200000020	1	2032	21229	 North Grantley Street 	733
2296	807 APPLETON ST BALTIMORE | MD 21217-1026	0x0053000000205200000020	1	1026	21217	 Appleton Street 	807
2355	813 APPLETON ST BALTIMORE | MD 21217-1026	0x0053000000205500000020	1	1026	21217	 Appleton Street 	813
2370	2101 ELSINORE AVE BALTIMORE | MD 21216-2512	0x00FA0A0000200A00000020	1	2512	21216	 Elsinore Avenue 	2101
2378	911 BENNETT PL BALTIMORE | MD 21223-1312	0x0081000000204400000020	1	1312	21223	 Bennett Place 	911
2404	447 N LAKEWOOD AVE BALTIMORE | MD 21224-1113	0x008B060000201800000020	1	1113	21224	 North Lakewood Avenue 	447
2417	799 N GRANTLEY ST BALTIMORE | MD 21229-2032	0x00C8090000206400000020	1	2032	21229	 North Grantley Street 	799
2418	2216 WILKENS AVE BALTIMORE | MD 21223-3327	0x00B8020000201B00000020	1	3327	21223	 Wilkens Avenue 	2216
2420	3707 BEEHLER AVE BALTIMORE | MD 21215-5904	0x0000120000203E00000020	1	5904	21215	 Beehler Avenue 	3707
2438	2111-D GARRISON BLVD BALTIMORE | MD 21216	0x00CA0B0000200500000020	1	0	21216	 Garrison Boulevard 	2111-D
2461	4145 MARX AVE BALTIMORE | MD 21206-5546	0x00E6160000410400000020	1	5546	21206	 Marx Avenue 	4145
2480	207 S REGESTER ST BALTIMORE | MD 21231-2416	0x00D9060000206C00000020	1	2416	21231	 South Regester Street 	207
2487	3703 BEEHLER AVE BALTIMORE | MD 21215-5904	0x0000120000203C00000020	1	5904	21215	 Beehler Avenue 	3703
2555	312 FAGLEY ST BALTIMORE | MD 21224-2526	0x00A7180000200F00000020	1	2526	21224	 Fagley Street 	312
2615	1911 E NORTH AVE BALTIMORE | MD 21213-1415	0x00A8050000203600000020	1	1415	21213	 East North Avenue 	1911
2773	415 N GLOVER ST BALTIMORE | MD 21224-1109	0x008A060000205A00000020	1	1109	21224	 North Glover Street 	415
2785	723 N FULTON AVE BALTIMORE | MD 21217-1405	0x0061000000202800000020	1	1405	21217	 North Fulton Avenue 	723
2802	814 N CAREY ST BALTIMORE | MD 21217-2547	0x0059000000203800000020	1	2547	21217	 North Carey Street 	814
2823	1013 APPLETON ST BALTIMORE | MD 21217-1102	0x003A000000204A00000020	1	1102	21217	 Appleton Street 	1013
2853	1622 N BROADWAY BALTIMORE | MD 21213-2315	0x005E040000203000000020	1	2315	21213	 North Broadway 	1622
2892	527 N LUZERNE AVE BALTIMORE | MD 21205-2609	0x0079060000200E00000020	1	2609	21205	 North Luzerne Avenue 	527
2919	3600 HARLEM AVE BALTIMORE | MD 21229-2052	0x00C9090000200C00000020	1	2052	21229	 Harlem Avenue 	3600
2942	3804 HARLEM AVE BALTIMORE | MD 21229-1969	0x00CB090000200A00000020	1	1969	21229	 Harlem Avenue 	3804
2958	4113 CENTURY RD BALTIMORE | MD 21206-2519	0x003F160000467200000020	1	2519	21206	 Century Road 	4113
2989	3707 MANCHESTER AVE BALTIMORE | MD 21215-5923	0x0001120000203A00000020	1	5923	21215	 Manchester Avenue 	3707
3008	403 S DEAN ST BALTIMORE | MD 21224-2602	0x00AB180000412300000020	1	2602	21224	 South Dean Street 	403
3045	2425 E FEDERAL ST BALTIMORE | MD 21213-3625	0x00CD050000200D00000020	1	3625	21213	 East Federal Street 	2425
3054	104 S MOUNT ST BALTIMORE | MD 21223-2438	0x00F4000000203400000020	1	2438	21223	 South Mount Street 	104
3072	2613 E MONUMENT ST BALTIMORE | MD 21205-2616	0x006A060000203300000020	1	2616	21205	 East Monument Street 	2613
3106	1622 N BOND ST BALTIMORE | MD 21213-2313	0x005D040000202900000020	1	2313	21213	 North Bond Street 	1622
3157	632 N PAYSON ST BALTIMORE | MD 21217-1014	0x006A000000203E00000020	1	1014	21217	 North Payson Street 	632
3169	2006 KENNEDY AVE BALTIMORE | MD 21218-6307	0x00AD0F0000411300000020	1	6307	21218	 Kennedy Avenue 	2006
3180	1903 N ELLAMONT ST BALTIMORE | MD 21216-3008	0x00BA0B0000200F00000020	1	3008	21216	 North Ellamont Street 	1903
3198	1910 MCKEAN AVE BALTIMORE | MD 21217-1642	0x00880C0000204C00000020	1	1642	21217	 Mckean Avenue 	1910
3219	1742 HOMESTEAD ST BALTIMORE | MD 21218-4939	0x001B100000203A00000020	1	4939	21218	 Homestead Street 	1742
3230	1106 STERRETT ST BALTIMORE | MD 21230-2543	0x00AA030000206A00000041	1	2543	21230	 Sterrett Street 	1106
3250	1318 DRUID HILL AVE BALTIMORE | MD 21217-3033	0x008C010000200400000020	1	3033	21217	 Druid Hill Avenue 	1318
3378	1021 N PAYSON ST BALTIMORE | MD 21217-1106	0x003A000000202500000020	1	1106	21217	 North Payson Street 	1021
3399	1620 HOMESTEAD ST BALTIMORE | MD 21218-4934	0x0018100000203C00000020	1	4934	21218	 Homestead Street 	1620
3453	244 N ROSE ST BALTIMORE | MD 21224-1123	0x009B060000205B00000020	1	1123	21224	 North Rose Street 	244
3474	1603 N MILTON AVE BALTIMORE | MD 21213-2513	0x00AF050000200500000020	1	2513	21213	 North Milton Avenue 	1603
3480	1000 E NORTH AVE BALTIMORE | MD 21202-5800	0x00A40F0000200100000020	1	5800	21202	 East North Avenue 	1000
3488	2103 MCCULLOH ST BALTIMORE | MD 21217-3530	0x0036010000201900000020	1	3530	21217	 Mcculloh Street 	2103
3499	427 N MONTFORD AVE BALTIMORE | MD 21224-1018	0x0088060000200E00000020	1	1018	21224	 North Montford Avenue 	427
3647	2707 E MONUMENT ST BALTIMORE | MD 21205-2632	0x006B060000201700000020	1	2632	21205	 East Monument Street 	2707
3652	607 N MONROE ST BALTIMORE | MD 21217-1420	0x006C000000202000000020	1	1420	21217	 North Monroe Street 	607
3656	1414 DARLEY AVE BALTIMORE | MD 21213-1315	0x0044100000200800000020	1	1315	21213	 Darley Avenue 	1414
3708	825 CATOR AVE BALTIMORE | MD 21218-1227	0x00490F0000411900000020	1	1227	21218	 Cator Avenue 	825
3714	1412 DARLEY AVE BALTIMORE | MD 21213-1315	0x0044100000200700000020	1	1315	21213	 Darley Avenue 	1412
3730	1667 N MILTON AVE BALTIMORE | MD 21213-2513	0x00AF050000202500000020	1	2513	21213	 North Milton Avenue 	1667
3736	5410 READY AVE BALTIMORE | MD 21212-3929	0x0020140000200F00000020	1	3929	21212	 Ready Avenue 	5410
3798	2126 CORBIN RD BALTIMORE | MD 21214-1509	0x00A8140000430500000020	1	1509	21214	 Corbin Road 	2126
3812	2205 LIBERTY HEIGHTS AVE BALTIMORE | MD 21217-2028	0x00A60C0000201100000020	1	2028	21217	 Liberty Heights Avenue 	2205
3832	829 CATOR AVE BALTIMORE | MD 21218-1227	0x00490F0000411B00000020	1	1227	21218	 Cator Avenue 	829
3864	611 MCKEWIN AVE BALTIMORE | MD 21218-2543	0x00DA0F0000200F00000020	1	2543	21218	 Mckewin Avenue 	611
3867	3200 CLIFTON AVE BALTIMORE | MD 21216-2709	0x00CC0B0000200400000020	1	2709	21216	 Clifton Avenue 	3200
3901	1621 HOMESTEAD ST BALTIMORE | MD 21218-4935	0x0018100000202700000020	1	4935	21218	 Homestead Street 	1621
3942	903 N FRANKLINTOWN RD BALTIMORE | MD 21216-4225	0x00A6090000203300000020	1	4225	21216	 North Franklintown Road 	903
3944	5442 PRICE AVE BALTIMORE | MD 21215-4533	0x009F110000472900000020	1	4533	21215	 Price Avenue 	5442
3949	205 N MONROE ST BALTIMORE | MD 21223-1643	0x00A3000000201200000020	1	1643	21223	 North Monroe Street 	205
3966	1715 HOMESTEAD ST BALTIMORE | MD 21218-4940	0x001B100000411100000020	1	4940	21218	 Homestead Street 	1715
4011	202 N MONROE ST BALTIMORE | MD 21223-1642	0x00A2000000207A00000020	1	1642	21223	 North Monroe Street 	202
4050	1826 N MILTON AVE BALTIMORE | MD 21213-2549	0x00AE050000202200000020	1	2549	21213	 North Milton Avenue 	1826
4062	3314 ELGIN AVE BALTIMORE | MD 21216-2622	0x00DF0B0000201A00000020	1	2622	21216	 Elgin Avenue 	3314
4065	2736 MURA ST BALTIMORE | MD 21213-3813	0x0004060000205B00000020	1	3813	21213	 Mura Street 	2736
4091	1945 W LAFAYETTE AVE BALTIMORE | MD 21217-1034	0x0053000000202B00000020	1	1034	21217	 West Lafayette Avenue 	1945
4104	1821 N PORT ST BALTIMORE | MD 21213-2511	0x00AE050000205600000020	1	2511	21213	 North Port Street 	1821
4160	1711 E 28TH ST BALTIMORE | MD 21218-3720	0x00600F0000204900000020	1	3720	21218	 East 28Th Street 	1711
4180	744 N PATTERSON PARK AVE BALTIMORE | MD 21205-2427	0x0056060000200E00000020	1	2427	21205	 North Patterson Park Avenue 	744
4186	3712 EDMONDSON AVE BALTIMORE | MD 21229-2017	0x00B7090000201500000020	1	2017	21229	 Edmondson Avenue 	3712
4223	1915 W LAFAYETTE AVE BALTIMORE | MD 21217-1032	0x0053000000203A00000020	1	1032	21217	 West Lafayette Avenue 	1915
4236	1002 N PAYSON ST BALTIMORE | MD 21217-1105	0x0039000000200200000020	1	1105	21217	 North Payson Street 	1002
4262	1505 S HANOVER ST BALTIMORE | MD 21230-4439	0x00EB030000200300000020	1	4439	21230	 South Hanover Street 	1505
4269	1118 WASHINGTON BLVD BALTIMORE | MD 21230-1825	0x0001030000206000000020	1	1825	21230	 Washington Boulevard 	1118
4291	1943 W MOSHER ST BALTIMORE | MD 21217-1050	0x0047000000202A00000020	1	1050	21217	 West Mosher Street 	1943
4311	1932 PENROSE AVE BALTIMORE | MD 21223-1655	0x00A2000000204100000020	1	1655	21223	 Penrose Avenue 	1932
4322	921 N LAKEWOOD AVE BALTIMORE | MD 21205-1310	0x003A060000204300000020	1	1310	21205	 North Lakewood Avenue 	921
4343	1204 HOLLINS ST BALTIMORE | MD 21223-2631	0x00D8000000203F00000020	1	2631	21223	 Hollins Street 	1204
4379	2428 DRUID HILL AVE BALTIMORE | MD 21217-1826	0x00550D0000200F00000020	1	1826	21217	 Druid Hill Avenue 	2428
4451	1917 MCCULLOH ST BALTIMORE | MD 21217-3509	0x0043010000201900000020	1	3509	21217	 Mcculloh Street 	1917
4474	3400 HOLMES AVE BALTIMORE | MD 21217-2022	0x00A70C0000201500000020	1	2022	21217	 Holmes Avenue 	3400
4481	612 E 43RD ST BALTIMORE | MD 21212-4804	0x004D140000203100000020	1	4804	21212	 East 43Rd Street 	612
4534	817 APPLETON ST BALTIMORE | MD 21217-1026	0x0053000000205700000020	1	1026	21217	 Appleton Street 	817
4539	603 OAKLAND AVE BALTIMORE | MD 21212-4810	0x004D140000203600000020	1	4810	21212	 Oakland Avenue 	603
4568	2429 FRANCIS ST BALTIMORE | MD 21217-1833	0x00550D0000202F00000020	1	1833	21217	 Francis Street 	2429
4585	616 TUNBRIDGE RD BALTIMORE | MD 21212-3926	0x001F140000200400000020	1	3926	21212	 Tunbridge Road 	616
4594	1101 N CAREY ST BALTIMORE | MD 21217-2619	0x0037000000430100000020	1	2619	21217	 North Carey Street 	1101
4595	3401 WOODBROOK AVE BALTIMORE | MD 21217-2036	0x00A70C0000201000000020	1	2036	21217	 Woodbrook Avenue 	3401
4659	2213 ORLEANS ST BALTIMORE | MD 21231-1333	0x0098060000201400000020	1	1333	21231	 Orleans Street 	2213
4664	1107 N CAREY ST BALTIMORE | MD 21217-2619	0x0037000000430400000020	1	2619	21217	 North Carey Street 	1107
4695	2115 RIDGEHILL AVE BALTIMORE | MD 21217-1242	0x008C0C0000204900000020	1	1242	21217	 Ridgehill Avenue 	2115
4703	2611 QUANTICO AVE BALTIMORE | MD 21215-7010	0x00130D0000442800000020	1	7010	21215	 Quantico Avenue 	2611
4708	1221 W NORTH AVE BALTIMORE | MD 21217-3535	0x0030010000201700000020	1	3535	21217	 West North Avenue 	1221
4728	3157 RAVENWOOD AVE BALTIMORE | MD 21213-1645	0x0052100000202400000020	1	1645	21213	 Ravenwood Avenue 	3157
4731	1300 W 41ST ST BALTIMORE | MD 21211-1547	0x00FC0D0000201100000020	1	1547	21211	 West 41St Street 	1300
4753	1323 W MOSHER ST BALTIMORE | MD 21217-2604	0x004D000000200900000020	1	2604	21217	 West Mosher Street 	1323
4756	2124 HOLLINS ST BALTIMORE | MD 21223-2111	0x00CD000000202700000020	1	2111	21223	 Hollins Street 	2124
4767	2103 RIDGEHILL AVE BALTIMORE | MD 21217-1242	0x008C0C0000204300000020	1	1242	21217	 Ridgehill Avenue 	2103
4789	3430 HILLDALE PL BALTIMORE | MD 21215-7839	0x00FF0C0000442900000041	1	7839	21215	 Hilldale Place 	3430
4817	1036 N ARLINGTON AVE BALTIMORE | MD 21217-2614	0x0037000000440500000020	1	2614	21217	 North Arlington Avenue 	1036
