	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
63852	1549-59 N WARWICK AVE BALTIMORE | MD 21216	0x000E090000203200000020	1	0	21216	 North Warwick Avenue 	1549-59
63859	2673 EAGLE ST BALTIMORE | MD 21223-3312	0x0034080000205E00000020	1	3312	21223	 Eagle Street 	2673
63865	1338 W MOSHER ST BALTIMORE | MD 21217-2603	0x0040000000201400000020	1	2603	21217	 West Mosher Street 	1338
63890	417 GRIFFIN CT BALTIMORE | MD 21231-2423	0x00EB060000206100000020	1	2423	21231	 Griffin Court 	417
63895	2621 RIDGELY ST BALTIMORE | MD 21230-3049	0x00351D0000202C00000020	1	3049	21230	 Ridgely Street 	2621
63907	2210 MOUNT HOLLY ST BALTIMORE | MD 21216-2431	0x00F50A0000410600000020	1	2431	21216	 Mount Holly Street 	2210
63948	4806 PARK HEIGHTS AVE BALTIMORE | MD 21215-6010	0x00FD110000200300000020	1	6010	21215	 Park Heights Avenue 	4806
63965	1320 N CAREY ST BALTIMORE | MD 21217-2705	0x0024000000410C00000020	1	2705	21217	 North Carey Street 	1320
63976	2140 MOUNT HOLLY ST BALTIMORE | MD 21216-2429	0x00F40A0000411500000020	1	2429	21216	 Mount Holly Street 	2140
63994	5311 CORDELIA AVE BALTIMORE | MD 21215-4603	0x009F110000412500000020	1	4603	21215	 Cordelia Avenue 	5311
64054	312 S CALHOUN ST BALTIMORE | MD 21223-3124	0x0018010000200700000020	1	3124	21223	 South Calhoun Street 	312
64065	3406 E FAIRMOUNT AVE BALTIMORE | MD 21224-1511	0x0080180000200400000020	1	1511	21224	 East Fairmount Avenue 	3406
64083	3349 GREENMOUNT AVE BALTIMORE | MD 21218-2841	0x00D10F0000420600000020	1	2841	21218	 Greenmount Avenue 	3349
64115	2132 MOUNT HOLLY ST BALTIMORE | MD 21216-2429	0x00F40A0000411100000020	1	2429	21216	 Mount Holly Street 	2132
64152	3901 EIERMAN AVE BALTIMORE | MD 21206-6341	0x000A170000487900000020	1	6341	21206	 Eierman Avenue 	3901
64154	2130 W FAIRMOUNT AVE BALTIMORE | MD 21223-1526	0x00BE000000205200000020	1	1526	21223	 West Fairmount Avenue 	2130
64171	6003 GLENOAK AVE BALTIMORE | MD 21214-1834	0x00FF150000200800000041	1	1834	21214	 Glenoak Avenue 	6003
64184	201 E LANVALE ST BALTIMORE | MD 21202-2813	0x00AD010000201600000020	1	2813	21202	 East Lanvale Street 	201
64198	4735 PARK HEIGHTS AVE BALTIMORE | MD 21215-6333	0x000E120000201900000020	1	6333	21215	 Park Heights Avenue 	4735
64208	3514 NOBLE ST BALTIMORE | MD 21224-1517	0x0081180000201300000020	1	1517	21224	 Noble Street 	3514
64210	3700 GELSTON DR BALTIMORE | MD 21229-2018	0x00CA090000410100000020	1	2018	21229	 Gelston Drive 	3700
64284	2802 OSWEGO AVE BALTIMORE | MD 21215-6619	0x006F0C0000411800000020	1	6619	21215	 Oswego Avenue 	2802
64297	516 N BRICE ST BALTIMORE | MD 21223-1148	0x0076000000206400000020	1	1148	21223	 North Brice Street 	516
